date,close,high,low,open_price,volume
,ARTO.JK,ARTO.JK,ARTO.JK,ARTO.JK,ARTO.JK
2024-06-26,2200.0,2210.0,2130.0,2150.0,5065000
2024-06-27,2200.0,2270.0,2190.0,2230.0,8210600
2024-06-28,2410.0,2450.0,2230.0,2250.0,41568300
2024-07-01,2380.0,2460.0,2340.0,2420.0,12749400
2024-07-02,2380.0,2520.0,2350.0,2400.0,18065900
2024-07-03,2390.0,2440.0,2370.0,2410.0,9300600
2024-07-04,2310.0,2470.0,2280.0,2390.0,15989500
2024-07-05,2230.0,2340.0,2220.0,2330.0,8766700
2024-07-08,2350.0,2360.0,2230.0,2230.0,11225500
2024-07-09,2360.0,2380.0,2310.0,2360.0,4805000
2024-07-10,2280.0,2400.0,2230.0,2400.0,10963300
2024-07-11,2280.0,2290.0,2220.0,2290.0,10492900
2024-07-12,2320.0,2350.0,2250.0,2300.0,12763600
2024-07-15,2260.0,2320.0,2250.0,2320.0,7264200
2024-07-16,2250.0,2310.0,2240.0,2260.0,6288400
2024-07-17,2360.0,2390.0,2250.0,2250.0,22262400
2024-07-18,2400.0,2470.0,2360.0,2360.0,31430300
2024-07-19,2310.0,2410.0,2310.0,2400.0,13550700
2024-07-22,2390.0,2390.0,2310.0,2320.0,6187100
2024-07-23,2530.0,2590.0,2380.0,2400.0,35056400
2024-07-24,2450.0,2640.0,2410.0,2560.0,40215600
2024-07-25,2430.0,2440.0,2360.0,2440.0,12785000
2024-07-26,2570.0,2580.0,2440.0,2450.0,16041100
2024-07-29,2490.0,2580.0,2450.0,2570.0,17590100
2024-07-30,2670.0,2690.0,2500.0,2500.0,38554200
2024-07-31,2700.0,2820.0,2670.0,2670.0,46016400
2024-08-01,2710.0,2770.0,2670.0,2730.0,14168300
2024-08-02,2710.0,2820.0,2620.0,2680.0,22569700
2024-08-05,2690.0,2820.0,2620.0,2710.0,32355800
2024-08-06,2690.0,2750.0,2650.0,2700.0,16441600
2024-08-07,2680.0,2710.0,2670.0,2690.0,5461300
2024-08-08,2820.0,2840.0,2660.0,2680.0,22222900
2024-08-09,2840.0,2880.0,2790.0,2850.0,14513800
2024-08-12,2770.0,2850.0,2760.0,2850.0,12901000
2024-08-13,2770.0,2770.0,2720.0,2770.0,10299500
2024-08-14,2790.0,2860.0,2780.0,2800.0,13337700
2024-08-15,2800.0,2810.0,2750.0,2800.0,7154700
2024-08-16,2750.0,2830.0,2750.0,2810.0,5531000
2024-08-19,2730.0,2790.0,2680.0,2750.0,11410000
2024-08-20,2960.0,2980.0,2730.0,2730.0,33497700
2024-08-21,2900.0,3080.0,2900.0,2970.0,25083300
2024-08-22,2870.0,2960.0,2850.0,2900.0,17764700
2024-08-23,2870.0,2960.0,2870.0,2900.0,13330200
2024-08-26,2890.0,2930.0,2880.0,2910.0,9052800
2024-08-27,2860.0,2900.0,2840.0,2890.0,8600300
2024-08-28,2890.0,2920.0,2840.0,2890.0,16147400
2024-08-29,2870.0,2930.0,2870.0,2900.0,9525300
2024-08-30,2870.0,2990.0,2870.0,2870.0,18661100
2024-09-02,2960.0,3020.0,2900.0,2900.0,22182400
2024-09-03,2810.0,3000.0,2770.0,3000.0,20327400
2024-09-04,2770.0,2810.0,2730.0,2790.0,16356200
2024-09-05,2770.0,2810.0,2750.0,2780.0,9557200
2024-09-06,2780.0,2840.0,2750.0,2770.0,9866200
2024-09-09,2780.0,2900.0,2750.0,2810.0,17772800
2024-09-10,2840.0,2850.0,2790.0,2810.0,10671600
2024-09-11,2780.0,2860.0,2780.0,2860.0,10329800
2024-09-12,2820.0,2880.0,2790.0,2800.0,14107100
2024-09-13,2810.0,2860.0,2810.0,2830.0,7586500
2024-09-17,2990.0,2990.0,2830.0,2830.0,31218300
2024-09-18,3090.0,3170.0,3000.0,3000.0,46702300
2024-09-19,3140.0,3170.0,3100.0,3110.0,21715000
2024-09-20,3030.0,3160.0,3030.0,3150.0,176047400
2024-09-23,3180.0,3210.0,3030.0,3030.0,19563600
2024-09-24,3150.0,3220.0,3090.0,3200.0,11531900
2024-09-25,3080.0,3180.0,3040.0,3140.0,11088600
2024-09-26,3150.0,3170.0,3080.0,3080.0,10313500
2024-09-27,3160.0,3160.0,3060.0,3150.0,6963700
2024-09-30,3050.0,3170.0,3030.0,3160.0,8116600
2024-10-01,3040.0,3090.0,2930.0,3050.0,12675400
2024-10-02,2940.0,3030.0,2860.0,3030.0,14060200
2024-10-03,2950.0,2960.0,2900.0,2940.0,5782300
2024-10-04,2830.0,2940.0,2790.0,2940.0,14318000
2024-10-07,2860.0,2870.0,2770.0,2830.0,8095900
2024-10-08,2870.0,2920.0,2800.0,2860.0,13024300
2024-10-09,2830.0,2900.0,2820.0,2890.0,3730500
2024-10-10,2800.0,2860.0,2770.0,2830.0,6768700
2024-10-11,2860.0,2870.0,2800.0,2810.0,5933800
2024-10-14,2920.0,2940.0,2880.0,2890.0,9072200
2024-10-15,2900.0,2930.0,2880.0,2920.0,6527600
2024-10-16,2820.0,2910.0,2800.0,2890.0,8110500
2024-10-17,2860.0,2900.0,2820.0,2830.0,5543400
2024-10-18,2860.0,2890.0,2840.0,2880.0,2475200
2024-10-21,2960.0,2970.0,2810.0,2870.0,13777800
2024-10-22,2930.0,2990.0,2930.0,2960.0,7229700
2024-10-23,2960.0,2960.0,2900.0,2930.0,5619000
2024-10-24,2920.0,2980.0,2910.0,2960.0,2850000
2024-10-25,2860.0,2940.0,2850.0,2930.0,4963100
2024-10-28,2900.0,2900.0,2760.0,2860.0,6425600
2024-10-29,2890.0,2950.0,2850.0,2900.0,5244800
2024-10-30,2850.0,2900.0,2820.0,2900.0,4450800
2024-10-31,2840.0,2890.0,2790.0,2860.0,11266600
2024-11-01,2800.0,2840.0,2760.0,2820.0,5397800
2024-11-04,2720.0,2800.0,2680.0,2800.0,6192200
2024-11-05,2740.0,2740.0,2690.0,2710.0,3929300
2024-11-06,2560.0,2750.0,2560.0,2740.0,7065600
2024-11-07,2570.0,2620.0,2500.0,2550.0,3782300
2024-11-08,2600.0,2640.0,2550.0,2580.0,2204400
2024-11-11,2500.0,2630.0,2400.0,2600.0,9483100
2024-11-12,2460.0,2530.0,2410.0,2500.0,13041300
2024-11-13,2560.0,2600.0,2420.0,2450.0,18261700
2024-11-14,2550.0,2600.0,2480.0,2570.0,8998300
2024-11-15,2490.0,2540.0,2440.0,2540.0,7591400
2024-11-18,2460.0,2510.0,2440.0,2490.0,3920000
2024-11-19,2550.0,2620.0,2480.0,2480.0,7658600
2024-11-20,2660.0,2730.0,2580.0,2600.0,15593500
2024-11-21,2660.0,2750.0,2660.0,2670.0,9072500
2024-11-22,2730.0,2760.0,2670.0,2680.0,10611200
2024-11-25,2740.0,2770.0,2680.0,2740.0,9781200
2024-11-26,2640.0,2740.0,2630.0,2740.0,4853500
2024-11-28,2670.0,2710.0,2630.0,2650.0,3752100
2024-11-29,2640.0,2650.0,2580.0,2630.0,4118400
2024-12-02,2500.0,2640.0,2460.0,2640.0,8316200
2024-12-03,2580.0,2600.0,2500.0,2500.0,5666600
2024-12-04,2580.0,2610.0,2550.0,2560.0,4879900
2024-12-05,2550.0,2600.0,2520.0,2590.0,2352900
2024-12-06,2700.0,2750.0,2560.0,2560.0,11499200
2024-12-09,2680.0,2730.0,2660.0,2710.0,2464800
2024-12-10,2690.0,2730.0,2590.0,2680.0,7305400
2024-12-11,2670.0,2690.0,2640.0,2640.0,3823600
2024-12-12,2600.0,2670.0,2570.0,2670.0,4917500
2024-12-13,2630.0,2640.0,2590.0,2610.0,2817600
2024-12-16,2600.0,2650.0,2560.0,2650.0,4341600
2024-12-17,2590.0,2660.0,2520.0,2620.0,3894800
2024-12-18,2590.0,2600.0,2530.0,2590.0,2647200
2024-12-19,2350.0,2550.0,2310.0,2550.0,5595600
2024-12-20,2240.0,2380.0,2220.0,2360.0,5330300
2024-12-23,2400.0,2420.0,2270.0,2270.0,6204100
2024-12-24,2390.0,2440.0,2330.0,2430.0,3024000
2024-12-27,2360.0,2400.0,2330.0,2400.0,1871800
2024-12-30,2430.0,2460.0,2330.0,2370.0,3874800
2025-01-02,2430.0,2490.0,2410.0,2490.0,1689300
2025-01-03,2500.0,2520.0,2380.0,2430.0,4323800
2025-01-06,2550.0,2630.0,2510.0,2510.0,4840200
2025-01-07,2580.0,2580.0,2490.0,2570.0,3191800
2025-01-08,2600.0,2670.0,2560.0,2580.0,5765200
2025-01-09,2540.0,2640.0,2540.0,2600.0,1904600
2025-01-10,2550.0,2610.0,2540.0,2550.0,2977800
2025-01-13,2440.0,2550.0,2420.0,2550.0,2152600
2025-01-14,2440.0,2480.0,2400.0,2440.0,1619800
2025-01-15,2540.0,2550.0,2450.0,2450.0,2938300
2025-01-16,2540.0,2600.0,2520.0,2570.0,2165700
2025-01-17,2550.0,2560.0,2480.0,2530.0,2230500
2025-01-20,2580.0,2590.0,2550.0,2550.0,1228400
2025-01-21,2580.0,2640.0,2580.0,2610.0,2830100
2025-01-22,2510.0,2600.0,2510.0,2580.0,3373100
2025-01-23,2450.0,2600.0,2450.0,2520.0,4205900
2025-01-24,2350.0,2510.0,2350.0,2470.0,3983200
2025-01-30,2250.0,2380.0,2250.0,2350.0,3579300
2025-01-31,2250.0,2320.0,2250.0,2270.0,4376400
2025-02-03,2200.0,2270.0,2190.0,2260.0,4420900
2025-02-04,2250.0,2280.0,2190.0,2220.0,11678900
2025-02-05,2230.0,2240.0,2200.0,2240.0,1651700
2025-02-06,2200.0,2250.0,2140.0,2240.0,3920700
2025-02-07,2120.0,2200.0,2110.0,2200.0,3776000
2025-02-10,2020.0,2140.0,2010.0,2120.0,3458500
2025-02-11,1835.0,2040.0,1820.0,2030.0,9423800
2025-02-12,1870.0,1905.0,1810.0,1835.0,5595700
2025-02-13,1830.0,1880.0,1815.0,1870.0,4996400
2025-02-14,1920.0,1945.0,1835.0,1835.0,4657700
2025-02-17,1995.0,2010.0,1925.0,1925.0,4795700
2025-02-18,1975.0,2040.0,1970.0,2000.0,5467000
2025-02-19,1985.0,2000.0,1945.0,1975.0,2538500
2025-02-20,2000.0,2100.0,1980.0,1985.0,9538100
2025-02-21,2020.0,2030.0,1960.0,2000.0,3425600
2025-02-24,1955.0,2050.0,1950.0,2050.0,2059500
2025-02-25,1930.0,2000.0,1880.0,2000.0,2119200
2025-02-26,1910.0,1960.0,1855.0,1920.0,2148500
2025-02-27,1895.0,1925.0,1830.0,1910.0,2353400
2025-02-28,1755.0,1890.0,1755.0,1890.0,5451500
2025-03-03,1875.0,1905.0,1760.0,1760.0,5270200
2025-03-04,1840.0,1910.0,1810.0,1870.0,4434100
2025-03-05,1890.0,1975.0,1840.0,1870.0,3963500
2025-03-06,1880.0,1940.0,1880.0,1890.0,4037100
2025-03-07,1920.0,1945.0,1875.0,1890.0,4526100
2025-03-10,1930.0,1945.0,1885.0,1920.0,1423300
2025-03-11,1800.0,1900.0,1795.0,1900.0,6211400
2025-03-12,1780.0,1825.0,1755.0,1800.0,4880500
2025-03-13,1705.0,1810.0,1705.0,1810.0,5712200
2025-03-14,1635.0,1710.0,1620.0,1705.0,6335700
2025-03-17,1630.0,1655.0,1575.0,1655.0,7410500
2025-03-18,1550.0,1630.0,1225.0,1630.0,9992000
2025-03-19,1500.0,1550.0,1470.0,1535.0,8817700
2025-03-20,1475.0,1540.0,1475.0,1500.0,5232900
2025-03-21,1450.0,1485.0,1415.0,1480.0,3995800
2025-03-24,1420.0,1480.0,1355.0,1475.0,4499800
2025-03-25,1505.0,1575.0,1400.0,1400.0,9410500
2025-03-26,1520.0,1610.0,1510.0,1515.0,14248700
2025-03-27,1465.0,1540.0,1465.0,1525.0,7809100
2025-04-08,1280.0,1305.0,1250.0,1250.0,13450900
2025-04-09,1280.0,1315.0,1235.0,1260.0,6748500
2025-04-10,1395.0,1440.0,1350.0,1350.0,9007400
2025-04-11,1460.0,1460.0,1385.0,1400.0,4512700
2025-04-14,1530.0,1535.0,1460.0,1460.0,3422200
2025-04-15,1540.0,1580.0,1515.0,1545.0,4973000
2025-04-16,1540.0,1570.0,1515.0,1560.0,2879400
2025-04-17,1565.0,1580.0,1525.0,1540.0,1643100
2025-04-21,1675.0,1700.0,1595.0,1600.0,7665200
2025-04-22,1735.0,1740.0,1670.0,1675.0,7410300
2025-04-23,1860.0,1860.0,1720.0,1740.0,9678200
2025-04-24,1780.0,1885.0,1765.0,1865.0,14143700
2025-04-25,1920.0,1925.0,1785.0,1785.0,14137400
2025-04-28,1940.0,2030.0,1915.0,2010.0,13963100
2025-04-29,1900.0,1970.0,1895.0,1970.0,13122400
2025-04-30,1850.0,1930.0,1840.0,1925.0,16548900
